"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4995,-1.794e-15,0,1.405e-13,1,0,0,0.25,0.05
1.4995,-1.8491e-15,0,1.3769e-13,1,0.0125,0.0125,0.25,0.05
1.4995,-1.8669e-15,0,1.3248e-13,1,0.025,0.025,0.25,0.05
1.4995,-1.8365e-15,0,1.3021e-13,1,0.0375,0.0375,0.25,0.05
1.4995,-1.8767e-15,0,1.3227e-13,1,0.05,0.05,0.25,0.05
1.4995,-1.7463e-15,0,1.3344e-13,1,0.0625,0.0625,0.25,0.05
1.4995,-1.4031e-15,0,1.306e-13,1,0.075,0.075,0.25,0.05
1.4995,-1.0512e-15,0,1.2814e-13,1,0.0875,0.0875,0.25,0.05
1.4995,-8.1322e-16,0,1.2597e-13,1,0.1,0.1,0.25,0.05
1.4995,-7.5525e-16,0,1.2298e-13,1,0.1125,0.1125,0.25,0.05
1.4995,-8.1895e-16,0,1.2086e-13,1,0.125,0.125,0.25,0.05
1.4995,-9.6932e-16,0,1.2371e-13,1,0.1375,0.1375,0.25,0.05
1.4995,-1.1852e-15,0,1.2809e-13,1,0.15,0.15,0.25,0.05
1.4995,-1.4312e-15,0,1.3086e-13,1,0.1625,0.1625,0.25,0.05
1.4995,-1.6057e-15,0,1.3331e-13,1,0.175,0.175,0.25,0.05
1.4995,-1.5982e-15,0,1.3294e-13,1,0.1875,0.1875,0.25,0.05
1.4995,-1.5605e-15,0,1.3138e-13,1,0.2,0.2,0.25,0.05
1.4995,-1.5961e-15,0,1.3034e-13,1,0.2125,0.2125,0.25,0.05
1.4995,-1.6925e-15,0,1.3319e-13,1,0.225,0.225,0.25,0.05
1.4995,-1.8513e-15,0,1.3725e-13,1,0.2375,0.2375,0.25,0.05
1.4995,-1.8419e-15,0,1.3842e-13,1,0.25,0.25,0.25,0.05
1.4995,-1.5715e-15,0,1.3834e-13,1,0.2625,0.2625,0.25,0.05
1.4995,-1.2662e-15,0,1.3834e-13,1,0.275,0.275,0.25,0.05
1.4995,-1.0074e-15,0,1.3731e-13,1,0.2875,0.2875,0.25,0.05
1.4995,-7.3992e-16,0,1.3456e-13,1,0.3,0.3,0.25,0.05
1.4995,-6.085e-16,0,1.3228e-13,1,0.3125,0.3125,0.25,0.05
1.4995,-6.757e-16,0,1.3108e-13,1,0.325,0.325,0.25,0.05
1.4995,-7.2852e-16,0,1.2881e-13,1,0.3375,0.3375,0.25,0.05
1.4995,-6.186e-16,0,1.2936e-13,1,0.35,0.35,0.25,0.05
1.4995,-5.5945e-16,0,1.3321e-13,1,0.3625,0.3625,0.25,0.05
1.4995,-7.1514e-16,0,1.3485e-13,1,0.375,0.375,0.25,0.05
1.4995,-8.4087e-16,0,1.3684e-13,1,0.3875,0.3875,0.25,0.05
1.4995,-9.2411e-16,0,1.4044e-13,1,0.4,0.4,0.25,0.05
1.4995,-1.1783e-15,0,1.423e-13,1,0.4125,0.4125,0.25,0.05
1.4995,-1.5463e-15,0,1.4054e-13,1,0.425,0.425,0.25,0.05
1.4995,-1.8683e-15,0,1.3831e-13,1,0.4375,0.4375,0.25,0.05
1.4995,-2.1025e-15,0,1.3817e-13,1,0.45,0.45,0.25,0.05
1.4995,-2.1452e-15,0,1.3735e-13,1,0.4625,0.4625,0.25,0.05
1.4995,-2.0525e-15,0,1.3577e-13,1,0.475,0.475,0.25,0.05
1.4995,-2.0053e-15,0,1.3493e-13,1,0.4875,0.4875,0.25,0.05
1.4995,-2.0002e-15,0,1.3515e-13,1,0.5,0.5,0.25,0.05
1.4995,-2.0436e-15,0,1.3779e-13,1,0.5125,0.5125,0.25,0.05
1.4995,-1.9931e-15,0,1.4003e-13,1,0.525,0.525,0.25,0.05
1.4995,-1.8566e-15,0,1.4159e-13,1,0.5375,0.5375,0.25,0.05
1.4995,-1.8481e-15,0,1.4397e-13,1,0.55,0.55,0.25,0.05
1.4995,-1.9068e-15,0,1.4742e-13,1,0.5625,0.5625,0.25,0.05
1.4995,-1.986e-15,0,1.5256e-13,1,0.575,0.575,0.25,0.05
1.4995,-2.0408e-15,0,1.5355e-13,1,0.5875,0.5875,0.25,0.05
1.4995,-2.0591e-15,0,1.5361e-13,1,0.6,0.6,0.25,0.05
1.4995,-2.1695e-15,0,1.5411e-13,1,0.6125,0.6125,0.25,0.05
1.4995,-2.1975e-15,0,1.5295e-13,1,0.625,0.625,0.25,0.05
1.4995,-2.0557e-15,0,1.5084e-13,1,0.6375,0.6375,0.25,0.05
1.4995,-2.0341e-15,0,1.4878e-13,1,0.65,0.65,0.25,0.05
1.4995,-2.0477e-15,0,1.4919e-13,1,0.6625,0.6625,0.25,0.05
1.4995,-1.822e-15,0,1.4788e-13,1,0.675,0.675,0.25,0.05
1.4995,-1.5178e-15,0,1.4507e-13,1,0.6875,0.6875,0.25,0.05
1.4995,-1.379e-15,0,1.4218e-13,1,0.7,0.7,0.25,0.05
1.4995,-1.3716e-15,0,1.4012e-13,1,0.7125,0.7125,0.25,0.05
1.4995,-1.4301e-15,0,1.4091e-13,1,0.725,0.725,0.25,0.05
1.4995,-1.6395e-15,0,1.4237e-13,1,0.7375,0.7375,0.25,0.05
1.4995,-1.8091e-15,0,1.4395e-13,1,0.75,0.75,0.25,0.05
1.4995,-1.7283e-15,0,1.4331e-13,1,0.7625,0.7625,0.25,0.05
1.4995,-1.4902e-15,0,1.414e-13,1,0.775,0.775,0.25,0.05
1.4995,-1.1916e-15,0,1.4354e-13,1,0.7875,0.7875,0.25,0.05
1.4995,-1.0498e-15,0,1.4738e-13,1,0.8,0.8,0.25,0.05
1.4995,-1.0733e-15,0,1.5129e-13,1,0.8125,0.8125,0.25,0.05
1.4995,-1.1411e-15,0,1.5313e-13,1,0.825,0.825,0.25,0.05
1.4995,-1.1899e-15,0,1.5779e-13,1,0.8375,0.8375,0.25,0.05
1.4995,-1.0807e-15,0,1.6396e-13,1,0.85,0.85,0.25,0.05
1.4995,-7.8921e-16,0,1.6131e-13,1,0.8625,0.8625,0.25,0.05
1.4995,-4.4685e-16,0,1.5704e-13,1,0.875,0.875,0.25,0.05
1.4995,-9.1158e-17,0,1.6156e-13,1,0.8875,0.8875,0.25,0.05
1.4995,3.6127e-16,0,1.6743e-13,1,0.9,0.9,0.25,0.05
1.4995,9.0884e-16,0,1.6839e-13,1,0.9125,0.9125,0.25,0.05
1.4995,1.4966e-15,0,1.7099e-13,1,0.925,0.925,0.25,0.05
1.4995,1.9454e-15,0,1.7453e-13,1,0.9375,0.9375,0.25,0.05
1.4995,2.2329e-15,0,1.7701e-13,1,0.95,0.95,0.25,0.05
1.4995,2.5029e-15,0,1.7725e-13,1,0.9625,0.9625,0.25,0.05
1.4995,2.794e-15,0,1.7807e-13,1,0.975,0.975,0.25,0.05
1.4995,2.9535e-15,0,1.838e-13,1,0.9875,0.9875,0.25,0.05
1.4995,2.9127e-15,0,1.9034e-13,1,1,1,0.25,0.05
1.4995,2.8491e-15,0,1.9467e-13,1,1.0125,1.0125,0.25,0.05
1.4995,2.7716e-15,0,1.9563e-13,1,1.025,1.025,0.25,0.05
1.4995,2.5823e-15,0,1.9934e-13,1,1.0375,1.0375,0.25,0.05
1.4995,2.4902e-15,0,2.0362e-13,1,1.05,1.05,0.25,0.05
1.4995,2.6377e-15,0,2.0525e-13,1,1.0625,1.0625,0.25,0.05
1.4995,2.7514e-15,0,2.0922e-13,1,1.075,1.075,0.25,0.05
1.4995,2.7381e-15,0,2.123e-13,1,1.0875,1.0875,0.25,0.05
1.4995,2.6784e-15,0,2.137e-13,1,1.1,1.1,0.25,0.05
1.4995,2.5911e-15,0,2.1788e-13,1,1.1125,1.1125,0.25,0.05
1.4995,2.65e-15,0,2.2366e-13,1,1.125,1.125,0.25,0.05
1.4995,2.7486e-15,0,2.2739e-13,1,1.1375,1.1375,0.25,0.05
1.4995,2.7588e-15,0,2.3383e-13,1,1.15,1.15,0.25,0.05
1.4995,2.7671e-15,0,2.4266e-13,1,1.1625,1.1625,0.25,0.05
1.4995,2.7566e-15,0,2.4548e-13,1,1.175,1.175,0.25,0.05
1.4995,2.5962e-15,0,2.4605e-13,1,1.1875,1.1875,0.25,0.05
1.4995,2.3589e-15,0,2.4921e-13,1,1.2,1.2,0.25,0.05
1.4995,2.2816e-15,0,2.5175e-13,1,1.2125,1.2125,0.25,0.05
1.4995,2.2512e-15,0,2.522e-13,1,1.225,1.225,0.25,0.05
1.4995,2.2181e-15,0,2.5097e-13,1,1.2375,1.2375,0.25,0.05
1.4995,2.3446e-15,0,2.5169e-13,1,1.25,1.25,0.25,0.05
1.4995,2.515e-15,0,2.547e-13,1,1.2625,1.2625,0.25,0.05
1.4995,2.5794e-15,0,2.561e-13,1,1.275,1.275,0.25,0.05
1.4995,2.5488e-15,0,2.5784e-13,1,1.2875,1.2875,0.25,0.05
1.4995,2.2636e-15,0,2.6204e-13,1,1.3,1.3,0.25,0.05
1.4995,1.8814e-15,0,2.6472e-13,1,1.3125,1.3125,0.25,0.05
1.4995,1.6076e-15,0,2.6748e-13,1,1.325,1.325,0.25,0.05
1.4995,1.3435e-15,0,2.7085e-13,1,1.3375,1.3375,0.25,0.05
1.4995,1.1345e-15,0,2.7364e-13,1,1.35,1.35,0.25,0.05
1.4995,8.409e-16,0,2.7776e-13,1,1.3625,1.3625,0.25,0.05
1.4995,5.1698e-16,0,2.8257e-13,1,1.375,1.375,0.25,0.05
1.4995,4.383e-16,0,2.8536e-13,1,1.3875,1.3875,0.25,0.05
1.4995,4.5027e-16,0,2.8814e-13,1,1.4,1.4,0.25,0.05
1.4995,4.3422e-16,0,2.9328e-13,1,1.4125,1.4125,0.25,0.05
1.4995,4.4724e-16,0,2.9281e-13,1,1.425,1.425,0.25,0.05
1.4995,2.692e-16,0,2.9252e-13,1,1.4375,1.4375,0.25,0.05
1.4995,-1.4435e-16,0,2.9568e-13,1,1.45,1.45,0.25,0.05
1.4995,-4.5791e-16,0,2.9681e-13,1,1.4625,1.4625,0.25,0.05
1.4995,-6.2676e-16,0,2.9879e-13,1,1.475,1.475,0.25,0.05
1.4995,-7.9863e-16,0,3.0193e-13,1,1.4875,1.4875,0.25,0.05
1.4995,-7.9884e-16,0,3.0599e-13,1,1.5,1.5,0.25,0.05
1.4995,-7.281e-16,0,3.0924e-13,1,1.5125,1.5125,0.25,0.05
1.4995,-8.7402e-16,0,3.0958e-13,1,1.525,1.525,0.25,0.05
1.4995,-1.1472e-15,0,3.0733e-13,1,1.5375,1.5375,0.25,0.05
1.4995,-1.4287e-15,0,3.0719e-13,1,1.55,1.55,0.25,0.05
1.4995,-1.7075e-15,0,3.1083e-13,1,1.5625,1.5625,0.25,0.05
1.4995,-1.9176e-15,0,3.1367e-13,1,1.575,1.575,0.25,0.05
1.4995,-1.8856e-15,0,3.1393e-13,1,1.5875,1.5875,0.25,0.05
1.4995,-1.6893e-15,0,3.1155e-13,1,1.6,1.6,0.25,0.05
1.4995,-1.6727e-15,0,3.0912e-13,1,1.6125,1.6125,0.25,0.05
1.4995,-1.8765e-15,0,3.0761e-13,1,1.625,1.625,0.25,0.05
1.4995,-2.15e-15,0,3.0696e-13,1,1.6375,1.6375,0.25,0.05
1.4995,-2.2206e-15,0,3.1068e-13,1,1.65,1.65,0.25,0.05
1.4995,-1.9014e-15,0,3.1058e-13,1,1.6625,1.6625,0.25,0.05
1.4995,-1.5132e-15,0,3.0492e-13,1,1.675,1.675,0.25,0.05
1.4995,-1.1071e-15,0,3.0389e-13,1,1.6875,1.6875,0.25,0.05
1.4995,-6.8354e-16,0,3.0472e-13,1,1.7,1.7,0.25,0.05
1.4995,-5.4396e-16,0,3.0056e-13,1,1.7125,1.7125,0.25,0.05
1.4995,-4.9016e-16,0,2.979e-13,1,1.725,1.725,0.25,0.05
1.4995,-4.1815e-16,0,2.9894e-13,1,1.7375,1.7375,0.25,0.05
1.4995,-5.4169e-16,0,2.9833e-13,1,1.75,1.75,0.25,0.05
1.4995,-6.9603e-16,0,2.9771e-13,1,1.7625,1.7625,0.25,0.05
1.4995,-7.7844e-16,0,2.9783e-13,1,1.775,1.775,0.25,0.05
1.4995,-8.2215e-16,0,2.9639e-13,1,1.7875,1.7875,0.25,0.05
1.4995,-7.6985e-16,0,2.9125e-13,1,1.8,1.8,0.25,0.05
1.4995,-6.0323e-16,0,2.8623e-13,1,1.8125,1.8125,0.25,0.05
1.4995,-2.2511e-16,0,2.863e-13,1,1.825,1.825,0.25,0.05
1.4995,2.2386e-16,0,2.8822e-13,1,1.8375,1.8375,0.25,0.05
1.4995,7.4901e-16,0,2.8831e-13,1,1.85,1.85,0.25,0.05
1.4995,1.3511e-15,0,2.8437e-13,1,1.8625,1.8625,0.25,0.05
1.4995,1.7123e-15,0,2.7899e-13,1,1.875,1.875,0.25,0.05
1.4995,1.9867e-15,0,2.7726e-13,1,1.8875,1.8875,0.25,0.05
1.4995,2.2967e-15,0,2.7624e-13,1,1.9,1.9,0.25,0.05
1.4995,2.5264e-15,0,2.7475e-13,1,1.9125,1.9125,0.25,0.05
1.4995,2.6817e-15,0,2.7434e-13,1,1.925,1.925,0.25,0.05
1.4995,2.7857e-15,0,2.756e-13,1,1.9375,1.9375,0.25,0.05
1.4995,2.6817e-15,0,2.78e-13,1,1.95,1.95,0.25,0.05
1.4995,2.524e-15,0,2.7938e-13,1,1.9625,1.9625,0.25,0.05
1.4995,2.6112e-15,0,2.7805e-13,1,1.975,1.975,0.25,0.05
1.4995,2.7369e-15,0,2.7401e-13,1,1.9875,1.9875,0.25,0.05
1.4995,2.701e-15,0,2.7322e-13,1,2,2,0.25,0.05
1.4995,2.6075e-15,0,2.7567e-13,1,2.0125,2.0125,0.25,0.05
1.4995,2.5279e-15,0,2.7692e-13,1,2.025,2.025,0.25,0.05
1.4995,2.5365e-15,0,2.7804e-13,1,2.0375,2.0375,0.25,0.05
1.4995,2.6117e-15,0,2.7814e-13,1,2.05,2.05,0.25,0.05
1.4995,2.6104e-15,0,2.7679e-13,1,2.0625,2.0625,0.25,0.05
1.4995,2.4032e-15,0,2.7642e-13,1,2.075,2.075,0.25,0.05
1.4995,2.0946e-15,0,2.7817e-13,1,2.0875,2.0875,0.25,0.05
1.4995,1.9407e-15,0,2.8195e-13,1,2.1,2.1,0.25,0.05
1.4995,1.851e-15,0,2.8493e-13,1,2.1125,2.1125,0.25,0.05
1.4995,1.8147e-15,0,2.816e-13,1,2.125,2.125,0.25,0.05
1.4995,2.0235e-15,0,2.7785e-13,1,2.1375,2.1375,0.25,0.05
1.4995,2.2516e-15,0,2.8272e-13,1,2.15,2.15,0.25,0.05
1.4995,2.1854e-15,0,2.8878e-13,1,2.1625,2.1625,0.25,0.05
1.4995,2.022e-15,0,2.8741e-13,1,2.175,2.175,0.25,0.05
1.4995,1.9302e-15,0,2.8159e-13,1,2.1875,2.1875,0.25,0.05
1.4995,1.8314e-15,0,2.7713e-13,1,2.2,2.2,0.25,0.05
1.4995,1.6619e-15,0,2.7658e-13,1,2.2125,2.2125,0.25,0.05
1.4995,1.3545e-15,0,2.8133e-13,1,2.225,2.225,0.25,0.05
1.4995,1.0862e-15,0,2.8595e-13,1,2.2375,2.2375,0.25,0.05
1.4995,1.0142e-15,0,2.8431e-13,1,2.25,2.25,0.25,0.05
1.4995,7.5876e-16,0,2.8203e-13,1,2.2625,2.2625,0.25,0.05
1.4995,4.1557e-16,0,2.8475e-13,1,2.275,2.275,0.25,0.05
1.4995,3.3757e-16,0,2.8739e-13,1,2.2875,2.2875,0.25,0.05
1.4995,3.3165e-16,0,2.8658e-13,1,2.3,2.3,0.25,0.05
1.4995,3.5916e-16,0,2.8679e-13,1,2.3125,2.3125,0.25,0.05
1.4995,3.0734e-16,0,2.8742e-13,1,2.325,2.325,0.25,0.05
1.4995,7.9801e-17,0,2.8833e-13,1,2.3375,2.3375,0.25,0.05
1.4995,-2.3414e-17,0,2.9252e-13,1,2.35,2.35,0.25,0.05
1.4995,6.187e-17,0,2.9479e-13,1,2.3625,2.3625,0.25,0.05
1.4995,1.5975e-16,0,2.9332e-13,1,2.375,2.375,0.25,0.05
1.4995,1.3177e-16,0,2.9401e-13,1,2.3875,2.3875,0.25,0.05
1.4995,-6.4598e-19,0,2.9431e-13,1,2.4,2.4,0.25,0.05
1.4995,-3.309e-18,0,2.9428e-13,1,2.4125,2.4125,0.25,0.05
1.4995,2.1102e-16,0,2.9569e-13,1,2.425,2.425,0.25,0.05
1.4995,3.5214e-16,0,2.9579e-13,1,2.4375,2.4375,0.25,0.05
1.4995,2.5541e-16,0,2.9318e-13,1,2.45,2.45,0.25,0.05
1.4995,4.9567e-17,0,2.9158e-13,1,2.4625,2.4625,0.25,0.05
1.4995,-5.4089e-17,0,2.9179e-13,1,2.475,2.475,0.25,0.05
1.4995,3.1053e-17,0,2.9041e-13,1,2.4875,2.4875,0.25,0.05
1.4995,3.153e-16,0,2.9154e-13,1,2.5,2.5,0.25,0.05
1.4995,5.2291e-16,0,2.9486e-13,1,2.5125,2.5125,0.25,0.05
1.4995,3.1158e-16,0,2.976e-13,1,2.525,2.525,0.25,0.05
1.4995,-8.1612e-17,0,2.9805e-13,1,2.5375,2.5375,0.25,0.05
1.4995,-3.3749e-16,0,2.9725e-13,1,2.55,2.55,0.25,0.05
1.4995,-3.7542e-16,0,2.9904e-13,1,2.5625,2.5625,0.25,0.05
1.4995,-3.2527e-16,0,3.0252e-13,1,2.575,2.575,0.25,0.05
1.4995,-1.8859e-16,0,3.0436e-13,1,2.5875,2.5875,0.25,0.05
1.4995,-5.3103e-17,0,3.0337e-13,1,2.6,2.6,0.25,0.05
1.4995,-1.1033e-16,0,3.0008e-13,1,2.6125,2.6125,0.25,0.05
1.4995,-2.6218e-16,0,2.9622e-13,1,2.625,2.625,0.25,0.05
1.4995,-3.2723e-16,0,2.9557e-13,1,2.6375,2.6375,0.25,0.05
1.4995,-2.7847e-16,0,2.9681e-13,1,2.65,2.65,0.25,0.05
1.4995,-1.5932e-16,0,2.9379e-13,1,2.6625,2.6625,0.25,0.05
1.4995,-6.5988e-17,0,2.903e-13,1,2.675,2.675,0.25,0.05
1.4995,-1.3824e-16,0,2.9511e-13,1,2.6875,2.6875,0.25,0.05
1.4995,-2.8529e-16,0,2.9678e-13,1,2.7,2.7,0.25,0.05
1.4995,-2.9969e-16,0,2.9038e-13,1,2.7125,2.7125,0.25,0.05
1.4995,-1.1251e-16,0,2.8886e-13,1,2.725,2.725,0.25,0.05
1.4995,8.4772e-17,0,2.8867e-13,1,2.7375,2.7375,0.25,0.05
1.4995,3.6308e-16,0,2.8817e-13,1,2.75,2.75,0.25,0.05
1.4995,7.294e-16,0,2.8718e-13,1,2.7625,2.7625,0.25,0.05
1.4995,9.3745e-16,0,2.8602e-13,1,2.775,2.775,0.25,0.05
1.4995,1.1011e-15,0,2.8781e-13,1,2.7875,2.7875,0.25,0.05
1.4995,1.2451e-15,0,2.8853e-13,1,2.8,2.8,0.25,0.05
1.4995,1.0797e-15,0,2.8947e-13,1,2.8125,2.8125,0.25,0.05
1.4995,6.3006e-16,0,2.9004e-13,1,2.825,2.825,0.25,0.05
1.4995,1.9791e-16,0,2.9081e-13,1,2.8375,2.8375,0.25,0.05
1.4995,-4.2083e-17,0,2.9021e-13,1,2.85,2.85,0.25,0.05
1.4995,-1.5305e-16,0,2.868e-13,1,2.8625,2.8625,0.25,0.05
1.4995,-1.3591e-16,0,2.8483e-13,1,2.875,2.875,0.25,0.05
1.4995,1.9136e-17,0,2.8444e-13,1,2.8875,2.8875,0.25,0.05
1.4995,1.3827e-16,0,2.8368e-13,1,2.9,2.9,0.25,0.05
1.4995,2.9038e-16,0,2.8146e-13,1,2.9125,2.9125,0.25,0.05
1.4995,4.3168e-16,0,2.7751e-13,1,2.925,2.925,0.25,0.05
1.4995,2.7046e-16,0,2.7813e-13,1,2.9375,2.9375,0.25,0.05
1.4995,-4.5168e-17,0,2.8073e-13,1,2.95,2.95,0.25,0.05
1.4995,-1.9889e-16,0,2.7963e-13,1,2.9625,2.9625,0.25,0.05
1.4995,-3.5658e-16,0,2.7846e-13,1,2.975,2.975,0.25,0.05
1.4995,-6.4899e-16,0,2.7707e-13,1,2.9875,2.9875,0.25,0.05
1.4995,-8.2962e-16,0,2.7504e-13,1,3,3,0.25,0.05
1.4995,-8.446e-16,0,2.6951e-13,1,3.0125,3.0125,0.25,0.05
1.4995,-7.4509e-16,0,2.6181e-13,1,3.025,3.025,0.25,0.05
1.4995,-4.3423e-16,0,2.6049e-13,1,3.0375,3.0375,0.25,0.05
1.4995,-7.7927e-17,0,2.6338e-13,1,3.05,3.05,0.25,0.05
1.4995,9.0479e-17,0,2.63e-13,1,3.0625,3.0625,0.25,0.05
1.4995,1.7875e-16,0,2.6184e-13,1,3.075,3.075,0.25,0.05
1.4995,2.6331e-16,0,2.6352e-13,1,3.0875,3.0875,0.25,0.05
1.4995,3.0637e-16,0,2.6217e-13,1,3.1,3.1,0.25,0.05
1.4995,2.1633e-16,0,2.5722e-13,1,3.1125,3.1125,0.25,0.05
1.4995,1.9403e-17,0,2.5829e-13,1,3.125,3.125,0.25,0.05
1.4995,-1.7027e-17,0,2.5835e-13,1,3.1375,3.1375,0.25,0.05
1.4995,9.0591e-17,0,2.5074e-13,1,3.15,3.15,0.25,0.05
1.4995,2.5652e-16,0,2.4541e-13,1,3.1625,3.1625,0.25,0.05
1.4995,3.3221e-16,0,2.4343e-13,1,3.175,3.175,0.25,0.05
1.4995,2.2227e-16,0,2.4108e-13,1,3.1875,3.1875,0.25,0.05
1.4995,1.9323e-16,0,2.4311e-13,1,3.2,3.2,0.25,0.05
1.4995,2.2103e-16,0,2.4922e-13,1,3.2125,3.2125,0.25,0.05
1.4995,2.6207e-16,0,2.5291e-13,1,3.225,3.225,0.25,0.05
1.4995,2.6747e-16,0,2.5111e-13,1,3.2375,3.2375,0.25,0.05
1.4995,3.224e-17,0,2.4607e-13,1,3.25,3.25,0.25,0.05
1.4995,-2.6915e-16,0,2.4358e-13,1,3.2625,3.2625,0.25,0.05
1.4995,-4.0644e-16,0,2.4684e-13,1,3.275,3.275,0.25,0.05
1.4995,-4.7784e-16,0,2.4764e-13,1,3.2875,3.2875,0.25,0.05
1.4995,-5.4047e-16,0,2.4646e-13,1,3.3,3.3,0.25,0.05
1.4995,-4.7515e-16,0,2.4853e-13,1,3.3125,3.3125,0.25,0.05
1.4995,-3.693e-16,0,2.4854e-13,1,3.325,3.325,0.25,0.05
1.4995,-3.9845e-16,0,2.4584e-13,1,3.3375,3.3375,0.25,0.05
1.4995,-4.4808e-16,0,2.4336e-13,1,3.35,3.35,0.25,0.05
1.4995,-3.2845e-16,0,2.3866e-13,1,3.3625,3.3625,0.25,0.05
1.4995,-9.6234e-17,0,2.3096e-13,1,3.375,3.375,0.25,0.05
1.4995,1.9335e-16,0,2.2695e-13,1,3.3875,3.3875,0.25,0.05
1.4995,5.1928e-16,0,2.2912e-13,1,3.4,3.4,0.25,0.05
1.4995,7.0925e-16,0,2.3259e-13,1,3.4125,3.4125,0.25,0.05
1.4995,6.7178e-16,0,2.3248e-13,1,3.425,3.425,0.25,0.05
1.4995,5.4432e-16,0,2.3353e-13,1,3.4375,3.4375,0.25,0.05
1.4995,4.731e-16,0,2.3538e-13,1,3.45,3.45,0.25,0.05
1.4995,3.7888e-16,0,2.3493e-13,1,3.4625,3.4625,0.25,0.05
1.4995,1.3832e-16,0,2.3243e-13,1,3.475,3.475,0.25,0.05
1.4995,-6.8307e-17,0,2.3e-13,1,3.4875,3.4875,0.25,0.05
1.4995,-1.2852e-16,0,2.3267e-13,1,3.5,3.5,0.25,0.05
1.4995,-1.7494e-16,0,2.3137e-13,1,3.5125,3.5125,0.25,0.05
1.4995,-2.2317e-16,0,2.2368e-13,1,3.525,3.525,0.25,0.05
1.4995,-2.2243e-16,0,2.1884e-13,1,3.5375,3.5375,0.25,0.05
1.4995,-3.0337e-16,0,2.1491e-13,1,3.55,3.55,0.25,0.05
1.4995,-3.9493e-16,0,2.1328e-13,1,3.5625,3.5625,0.25,0.05
1.4995,-3.4474e-16,0,2.1525e-13,1,3.575,3.575,0.25,0.05
1.4995,-3.6431e-16,0,2.1381e-13,1,3.5875,3.5875,0.25,0.05
1.4995,-5.4701e-16,0,2.0715e-13,1,3.6,3.6,0.25,0.05
1.4995,-8.1085e-16,0,2.0215e-13,1,3.6125,3.6125,0.25,0.05
1.4995,-9.6902e-16,0,1.965e-13,1,3.625,3.625,0.25,0.05
1.4995,-9.4187e-16,0,1.9185e-13,1,3.6375,3.6375,0.25,0.05
1.4995,-1.0192e-15,0,1.9343e-13,1,3.65,3.65,0.25,0.05
1.4995,-1.2778e-15,0,1.9407e-13,1,3.6625,3.6625,0.25,0.05
1.4995,-1.5474e-15,0,1.9161e-13,1,3.675,3.675,0.25,0.05
1.4995,-1.7055e-15,0,1.8922e-13,1,3.6875,3.6875,0.25,0.05
1.4995,-1.7565e-15,0,1.8588e-13,1,3.7,3.7,0.25,0.05
1.4995,-1.8011e-15,0,1.8125e-13,1,3.7125,3.7125,0.25,0.05
1.4995,-1.7483e-15,0,1.7885e-13,1,3.725,3.725,0.25,0.05
1.4995,-1.5196e-15,0,1.7555e-13,1,3.7375,3.7375,0.25,0.05
1.4995,-1.1553e-15,0,1.7188e-13,1,3.75,3.75,0.25,0.05
1.4995,-7.9516e-16,0,1.6937e-13,1,3.7625,3.7625,0.25,0.05
1.4995,-5.2403e-16,0,1.6734e-13,1,3.775,3.775,0.25,0.05
1.4995,-3.7495e-16,0,1.649e-13,1,3.7875,3.7875,0.25,0.05
1.4995,-3.7581e-16,0,1.5989e-13,1,3.8,3.8,0.25,0.05
1.4995,-3.8476e-16,0,1.5825e-13,1,3.8125,3.8125,0.25,0.05
1.4995,-3.28e-16,0,1.5768e-13,1,3.825,3.825,0.25,0.05
1.4995,-2.968e-16,0,1.5558e-13,1,3.8375,3.8375,0.25,0.05
1.4995,-2.6414e-16,0,1.5178e-13,1,3.85,3.85,0.25,0.05
1.4995,-1.7556e-16,0,1.4607e-13,1,3.8625,3.8625,0.25,0.05
1.4995,-7.844e-17,0,1.4514e-13,1,3.875,3.875,0.25,0.05
1.4995,3.5075e-18,0,1.4772e-13,1,3.8875,3.8875,0.25,0.05
1.4995,-7.3842e-17,0,1.4961e-13,1,3.9,3.9,0.25,0.05
1.4995,-4.5205e-16,0,1.4597e-13,1,3.9125,3.9125,0.25,0.05
1.4995,-9.4526e-16,0,1.4009e-13,1,3.925,3.925,0.25,0.05
1.4995,-1.2431e-15,0,1.3909e-13,1,3.9375,3.9375,0.25,0.05
1.4995,-1.2987e-15,0,1.387e-13,1,3.95,3.95,0.25,0.05
1.4995,-1.2e-15,0,1.3893e-13,1,3.9625,3.9625,0.25,0.05
1.4995,-1.2236e-15,0,1.423e-13,1,3.975,3.975,0.25,0.05
1.4995,-1.4312e-15,0,1.4461e-13,1,3.9875,3.9875,0.25,0.05
1.4995,-1.5369e-15,0,1.4479e-13,1,4,4,0.25,0.05
